epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,1494.97,1.4207,0.93318,0.9284,0.8261,0.70376,0.76559,0.56152,1.40535,0.87629,0.93433,4.9e-05,4.9e-05,4.9e-05
127,1504.81,1.41265,0.90825,0.91923,0.83529,0.69196,0.76537,0.56139,1.40613,0.88007,0.9346,4.4688e-05,4.4688e-05,4.4688e-05
128,1514.33,1.41915,0.91058,0.92147,0.8334,0.69811,0.76445,0.55811,1.4097,0.87784,0.93535,4.0376e-05,4.0376e-05,4.0376e-05
129,1523.78,1.4108,0.91027,0.91737,0.84212,0.69227,0.76629,0.56402,1.40074,0.87441,0.93422,3.6064e-05,3.6064e-05,3.6064e-05
130,1533.37,1.39332,0.90034,0.91498,0.84217,0.68937,0.76412,0.5604,1.40364,0.87271,0.93274,3.1752e-05,3.1752e-05,3.1752e-05
131,1542.81,1.39505,0.89132,0.92024,0.84822,0.68661,0.76267,0.56002,1.40425,0.87316,0.93394,2.744e-05,2.744e-05,2.744e-05
132,1552.25,1.40026,0.89147,0.92351,0.83285,0.70092,0.7654,0.56678,1.39561,0.86575,0.9316,2.3128e-05,2.3128e-05,2.3128e-05
133,1562.29,1.39925,0.89201,0.91794,0.83378,0.70714,0.77033,0.57103,1.38768,0.85985,0.92978,1.8816e-05,1.8816e-05,1.8816e-05
134,1572.03,1.38552,0.88291,0.91284,0.85153,0.69259,0.76854,0.56857,1.38678,0.86114,0.92991,1.4504e-05,1.4504e-05,1.4504e-05
135,1581.54,1.39305,0.88541,0.91855,0.84762,0.69627,0.76745,0.56698,1.39298,0.86207,0.93129,1.0192e-05,1.0192e-05,1.0192e-05
